x_center,y_center,z_center,i,j,k,Density,Cut,Mo,As,Recu,Dure,Cate,Cate_3,Cate_2,Cate_1,Cate_0,Cate_9999
2910,3290,1832,0,0,0,2.7,0,0,0,89.28,13.09,3,100,0,0,0,0
2910,3290,1850,0,0,1,2.7,1,0.02,0.13,89.28,13.09,3,100,0,0,0,0
2910,3290,1868,0,0,2,2.71,0.85,0.03,0.07,89.28,13.09,3,100,0,0,0,0
2910,3290,1886,0,0,3,2.71,0.73,0.02,0.13,89.28,13.09,3,100,0,0,0,0
2910,3290,1904,0,0,4,2.71,0.69,0.02,0.09,87.91,14.14,3,100,0,0,0,0
2910,3290,1922,0,0,5,2.71,0.51,0.01,0.1,87.91,14.14,3,100,0,0,0,0
2910,3290,1940,0,0,6,2.71,0.47,0.01,0.1,74.67,13.76,3,100,0,0,0,0
2910,3290,1958,0,0,7,2.71,0.49,0,0.11,74.67,13.76,3,100,0,0,0,0
2910,3290,1976,0,0,8,2.71,0.28,0,0.1,74.67,13.76,3,100,0,0,0,0
2910,3290,1994,0,0,9,2.71,0.3,0,0.06,74.67,13.76,3,100,0,0,0,0
2910,3290,2012,0,0,10,2.71,0.22,0,0.16,74.67,13.76,3,100,0,0,0,0
2910,3290,2030,0,0,11,2.71,0.22,0,0.11,74.67,13.76,3,100,0,0,0,0
2910,3290,2048,0,0,12,2.71,0.19,0,0.1,80.84,12.7,3,100,0,0,0,0
2910,3290,2066,0,0,13,2.71,0.21,0,0.03,80.84,12.7,3,100,0,0,0,0
2910,3290,2084,0,0,14,2.71,0.2,0,0.03,80.84,12.7,3,100,0,0,0,0
2910,3290,2102,0,0,15,2.48,0.16,0.01,0.03,79.98,12.7,0,0,0,0,100,0
2910,3290,2120,0,0,16,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3290,2138,0,0,17,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3290,2156,0,0,18,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3290,2174,0,0,19,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3290,2192,0,0,20,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3290,2210,0,0,21,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3290,2228,0,0,22,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3290,2246,0,0,23,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3290,2264,0,0,24,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3290,2282,0,0,25,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3290,2300,0,0,26,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3290,2318,0,0,27,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3290,2336,0,0,28,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3290,2354,0,0,29,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3290,2372,0,0,30,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3290,2390,0,0,31,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3290,2408,0,0,32,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3290,2426,0,0,33,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3290,2444,0,0,34,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3290,2462,0,0,35,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3290,2480,0,0,36,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3290,2498,0,0,37,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3290,2516,0,0,38,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3290,2534,0,0,39,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3290,2552,0,0,40,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3290,2570,0,0,41,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3290,2588,0,0,42,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3290,2606,0,0,43,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3290,2624,0,0,44,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3290,2642,0,0,45,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3290,2660,0,0,46,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3290,2678,0,0,47,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3290,2696,0,0,48,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3290,2714,0,0,49,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3290,2732,0,0,50,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3290,2750,0,0,51,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3290,2768,0,0,52,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3290,2786,0,0,53,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3290,2804,0,0,54,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3290,2822,0,0,55,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
